,price,return,signal,prediction,strategy
0,34104.11,0.002686272668005108,sell,1.0,1.0434460885155437
0,34134.42,0.0008883544822350516,sell,1.0,1.044373450377293
0,34164.0,0.0008661987158559132,sell,1.0,1.0452784772288453
0,34147.0,-0.0004977236565398939,buy,-1.0,1.0457988665489286
0,34156.54,0.0002793413068206361,sell,1.0,1.046091042177443
0,34102.88,-0.0015722375330365715,buy,-1.0,1.0477370393871581
0,34049.69,-0.001560909905510921,buy,-1.0,1.0493737395487452
0,34036.49,-0.0003877438906216473,buy,-1.0,1.0497807066996485
0,34094.44,0.0017011367370139932,sell,1.0,1.0515680470497624
0,33970.29,-0.0036480020616105305,buy,-1.0,1.0554111750607753
0,34041.53,0.0020949307357001484,sell,1.0,1.0576245059481868
0,33965.65,-0.002231530008697989,buy,-1.0,1.0599872620712507
0,33892.16,-0.0021660006042600946,buy,-1.0,1.0622856834138152
0,33889.09,-9.058552334478008e-05,buy,-1.0,1.0623819154769392
0,33938.25,0.0014495632176657455,sell,1.0,1.0639230219204834
0,33983.15,0.0013221166389505953,sell,1.0,1.065330582524941
0,33901.96,-0.0023919837122248744,buy,-1.0,1.0678818860482535
0,33834.27,-0.00199863566462325,buy,-1.0,1.0700183271438235
0,33841.03,0.0001997774674803087,buy,-1.0,1.0698045829436176
0,33849.16,0.000240212061425655,buy,-1.0,1.0695476338417984
0,33957.8,0.0032043935596245132,sell,1.0,1.0729803823927393
0,34071.99,0.0033570618766315063,sell,1.0,1.0765884968720465
0,34000.0,-0.0021151145085819903,buy,-1.0,1.0788680146923353
0,33915.58,-0.0024860287868756774,buy,-1.0,1.0815534482836324
0,34031.67,0.003417065825587398,sell,1.0,1.085255509100851
0,34070.58,0.0011426936476810906,sell,1.0,1.0864963324826926
0,33961.94,-0.003193769460412862,buy,-1.0,1.08997189841211
0,33944.96,-0.0005000964660112239,buy,-1.0,1.0905171258283461
0,34014.88,0.002057686559313082,sell,1.0,1.0927633785102735
0,34022.62,0.0002275215883416296,buy,-1.0,1.092514779532603
0,34088.55,0.0019359532538252133,sell,1.0,1.0946318857229724
0,34134.61,0.0013502748039876604,sell,1.0,1.0961109379166385
0,34165.78,0.0009127327725046844,sell,1.0,1.0971118510055784
0,34003.58,-0.004758745163330265,buy,-1.0,1.1023451688572017
0,33977.25,-0.0007746301807911214,buy,-1.0,1.1031994095122286
0,33926.7,-0.0014888680065878546,buy,-1.0,1.1048431511714778
0,33986.87,0.0017719585568442245,sell,1.0,1.1068026229858892
0,33967.57,-0.000568027652613681,buy,-1.0,1.1074314960734732
0,33892.35,-0.002216920703921002,buy,-1.0,1.1098893072649265
0,33826.26,-0.001951901286311741,buy,-1.0,1.1120578173017184
0,33840.37,0.00041704456700473785,buy,-1.0,1.111594136325354
0,33882.2,0.0012353342562029532,sell,1.0,1.1129681751648373
0,33887.76,0.00016408450034430453,buy,-1.0,1.1127855693197204
0,33888.91,3.3934980874993727e-05,buy,-1.0,1.1127478076034327
0,33782.59,-0.0031422411940269105,buy,-1.0,1.1162498288192249
0,33737.26,-0.0013427164548025512,buy,-1.0,1.117749642518985
